company,company_x_id,company_rating,industry_cluster_1,industry_cluster_2,company_review_count
Vanderbilt University Medical Center,1,3.7,,,1590
AWG,2,3.5, Wholesale,Food and Grocery Distribution,166
Workwear Outfitters,3,3.5, Apparel Manufacturing,,19
Northwest Center,4,3.5, Non-Profit,Disability Services,123
LA FORTUNA,5,, Hospitality,Restaurant,
TriStar Centennial Medical Center,6,3.6,,,275
"Bestway Services, Inc.",7,, Janitorial and Facility Management,,
Devcare Solutions,8,3.5, IT Consulting and Staffing,,10
Nighthawk Security Company LLC,9,3, Security Services,,214
Rock'n Dough Pizza & Brewery Skyline,10,3.3, Hospitality,Restaurant/Brewery,7
A Head for Profits,11,2.7, Beverage,Draft Beer Services,69
Anthony V. Perry O.D. & Associates,13,, Healthcare,,
Nashville Media Co,14,, Media and Entertainment,,
Connectus Health,15,,,,
City of Brentwood TN,16,,,,
Universal Music Group,17,4,,,391
Metropolitan Government of Nashville & Davidson County,18,3.3, Government,,50
"Marriott International, Inc",19,4,,,25319
Correction,20,3.4, Government,Corrections Services,538
NASBA,22,2.7, Non-Profit,Accounting and Business Regulation,11
Bernard Health,23,3.5,,,22
Live Nation,24,4.1,,,1350
Human Services,25,3.7, Government,Social Services,210
Caterpillar,27,3.8,,,8530
Tennessee State University,28,4.1, Education,,325
"Dialysis Clinic, Inc.",29,3.4, Healthcare,Dialysis Services,385
Nexstar Broadcasting,30,2.7,,,400
Hobby Lobby,31,3.5, Retail,Arts and Crafts,6434
Finance and Administration,32,3.8, Government,Financial Services,9
Tempo by Hilton Downtown Nashville,34,, Hospitality,Hotel,
Genesco Inc,35,3.5,,,395
Saint Thomas Surgicare (11660),36,2.6,,,492
Amazon.com Services LLC,37,3.5,,,50585
Carrington Mortgage Holdings,38,3, Financial Services,Mortgage,548
The General,39,3.6, Insurance,,34
The Westin Nashville,41,4, Hospitality,Hotel,25319
Meharry Medical College,42,3.9,,,152
Best Buy,43,3.8, Retail,Electronics,38212
Sevita,45,3.1, Healthcare,Disability and Behavioral Services,5075
Permanent General Assurance Corp.,46,3.7, Insurance,,14
Vanderbilt University,47,4, Education and Research,,604
Traditions Health,48,2.9,,,189
BlueCross BlueShield of South Carolina,50,3.7,,,2890
Warner Music Group,51,4.1,,,205
Philips,53,3.9, Healthcare Technology,,4233
HealthStream,54,3.8,,,130
Valor Collegiate Academies,57,3.2, Education,Charter Schools,9
Buck Mason,60,3.2, Retail,Apparel,13
Metro Nashville Public Health Department,61,, Government,Public Health,
Lighthouse Kids Centers for Autism,62,3.4, Healthcare,Autism Care,31
"AeroCare, an AdaptHealth Company",63,3.4,,,691
Somerby Franklin,68,3.6,,,339
Maci's Maids,70,, Cleaning Services,,
APCOM (a division of A. O. Smith),72,, Manufacturing,Water Heating Components,
Zaxby's,74,3.5, Hospitality,Fast Food,7193
Ndi Office Furniture Llc,75,3, Furniture Manufacturing,,5
