job_x_id,display_title,job_description,job_type,snippet,sponsored,shift_type,extracted salary/min,extracted salary/type,salary snippet/currency,company_x_id,job_location,min_hourly_salary
1,Clinical Staff Leader Inpatient- PSTAM,"Discover Vanderbilt University Medical Center: Located in Nashville, Tennessee, and operating at a global crossroads of teaching, discovery, and patient care, VUMC is a community of diverse individuals who come to work each day with the simple aim of changing the world. It is a place where your expertise will be valued, your knowledge expanded, and your abilities challenged. Vanderbilt Health recognizes that diversity is essential for excellence and innovation. We are committed to an inclusive environment where everyone has the chance to thrive and where your diversity of culture, thinking, learning, and leading is sought and celebrated. It is a place where employees know they are part of something that is bigger than themselves, take exceptional pride in their work and never settle for what was good enough yesterday. Vanderbilt’s mission is to advance health and wellness through preeminent programs in patient care, education, and research.
 
 Organization: STAM 
 
 Job Summary: JOB SUMMARY  The Pediatric Surgery Trauma Adolescent Medicine Clinical Staff Leader is a direct supervisory leadership role and a key member of the Nursing leadership team. You will work administratively and in staffing. The CSL leads a cohort of staff members and actively participates in overall management of the unit, development of clinical practice, and provision of patient care with accountabilities for implementation and outcomes for people leadership, quality, service, compliance, finance, throughput and scheduling. The primary focus of the Clinical Staff Leader is to ensure the unit's optimal performance by engaging in effective problem solving for staff, patients and families and to develop/lead the assigned cohort. The Clinical Staff Leader provides feedback and coaching to staff members, recognizing them for their contributions while fostering a high performance culture. The CSL works under the guidance and direction of the manager to develop.   HOURS: 7pm-7am or 12pm-12am 
 .
 
  KEY RESPONSIBILITIES 
  
   Interacts with and contributes to the professional development of their cohort and other staff as needed.
   Defines standards for quality patient care.
   Develops, manages and evaluates area based on work team performance.
   Manages multiple projects/on-going work activities (timelines, work plans, deliverables) and maintains alignment with strategic plan and vision.
   Acts as clinical leader and facilitates education for staff on clinical standards; routinely provides guidance/coaching to subordinates/peers within clinical specialty(ies).
   Ensures that clinical assignments are based on patient care needs and demonstrated staff competencies.
   The responsibilities listed are a general overview of the position and additional duties may be assigned.
   TECHNICAL CAPABILITIES 
  
   Clinical Expertise (Intermediate): Demonstrates the mastery of patient care including patient assessment and treatment, care planning, patient education and evidence based practice. Possesses sufficient knowledge, training and expertise to role model and coach less experienced staff.
   Quality Management (Novice): Has provided continuous analysis and evaluation of assignment work processes, constantly striving for improvement in the way tasks and activities are accomplished by questioning their value to the process and contributing creative solutions. Has participated in the process of establishing, communicating and monitoring standards for quality and excellence. Demonstrates the ability to actually work on and improve a current business process, product or service.
   Business Results (Fundamental Awareness): Implements appropriate measures for attaining business results and tracks progress in meeting goals and objectives. Demonstrates the ability to deliver products and services on time, within budget, and in accordance with organizational standards and goals. Continuously demonstrates a strong focus on quality. Responds effectively to customer or client needs. Recognizes incipient problems and communicates them to management.
   Operations Planning (Novice): Demonstrates ability to realistically anticipate resource needs, identify discrete tasks, set priorities, define dependencies, schedule activities, meet deadlines, and organize work within areas of direct responsibility. Appropriately matches equipment and capital resources to task demands. Achieves results within budget. Competently handles multiple assignments simultaneously. Reshapes project during life-cycle evolution, if needed. Demonstrates ability to break down work into manageable and measurable units. Accepts changes to assignments with minimal disruption and loss of productivity. Able to absorb changes to major assignments while maintaining a high level of performance. Uses available time efficiently. Follows up to assure problems and issues are resolved.
   People Management (Novice): Conducts performance reviews. Effectively delegates tasks to others. Coaches subordinates on technical and interpersonal topics, as well as professional development. Demonstrates team building techniques and provides leadership through personal example of good work habits, open communication and effective people relationships. Involves subordinates in decisions which affect them. Demonstrates self-reliance and resourcefulness as an example to others.
   Leadership (Novice): Sets the example in challenging and difficult situations. Can demonstrate different leadership styles, such as supportive and authoritative, as individuals and situations require it. Communicates team and unit goals clearly and effectively. Is receptive to ideas and suggestions from team members. Shows leadership and initiative in situations where supervision is not present or required.
   Compliance (Novice): Can explain and apply basic statutory instructions in normal situations on the job. Understands the principles upon which the rules and regulations are based. Appropriately escalates problems relating to rules and regulations in timely and effective manner.
  
 
 
 Our Nursing Philosophy: 
 We believe highly skilled and specialized nursing care is essential to Vanderbilt University Medical Center’s mission of quality in patient care, education and research. We believe nursing is an applied art and science focused on helping people, families and communities reach excellent health and well-being.
 As a Vanderbilt University Medical Center employee, you make a difference to our patients and their families by bringing compassion and care to those in need of hope and healing. Please see our current employee benefits offered:
 
  Affordable High Quality Health Plan Options
  Dental and /or vision plan
  403 (b) retirement plan
  Paid Time off (flex PTO)
  Tuition Reimbursement and adoption assistance (maximums applied)
  Short-Long term disability
  Subsidized backup childcare
  And many more... Ask us about our current inpatient nursing supplemental Pay Program! 
 
 
 Achieve the Remarkable: 
 Learn more about VUMC Nursing:
 
  Nursing Careers : http://www.vumcnursingcareers.com/index.html
  Benefits : http://www.vumcnursingcareers.com/benefits.html
  Our Nursing Philosophy : http://www.vumcnursingcareers.com/philosophy.html
  Our Nursing Leadership : http://www.vumcnursingcareers.com/leadership.html
  Shared Governance : http://www.vumcnursingcareers.com/shared-governance.html
  Education&amp; Professional Development : http://www.vumcnursingcareers.com/professional-development.html
  Life In Nashville : http://www.vumcnursingcareers.com/nashville.html
  VUMC Nursing : http://www.mc.vanderbilt.edu/root/vumc.php?site=vanderbilt-nursing
 
 
 Core Accountabilities: 
 * Organizational Impact: Plans and sets day-to-day objectives for the team that have a direct effect on the results of the department or area that the job is in. * Problem Solving/ Complexity of work: Resolves technical and operational problems within provided guideline. * Breadth of Knowledge: Applies advanced subject matter knowledge within a specific technical area and basic management knowledge to support the team. * Team Interaction: Leads/supervises a unit within a department or a small department. Typically without budget or hire/fire authority. Role is typically a 'working' supervisor. 
 
 Core Capabilities : 
 Supporting Colleagues: - Develops Self and Others: Invests time, energy, and enthusiasm in developing self/others to help improve performance e and gain knowledge in new areas. - Builds and Maintains Relationships: Maintains regular contact with key colleagues and stakeholders using formal and informal opportunities to expand and strengthen relationships. - Communicates Effectively: Recognizes group interactions and modifies one's own communication style to suit different situations and audiences.Delivering Excellent Services: - Serves Others with Compassion: Seeks to understand current and future needs of relevant stakeholders and customizes services to better address them. - Solves Complex Problems: Approaches problems from different angles; Identifies new possibilities to interpret opportunities and develop concrete solutions. - Offers Meaningful Advice and Support: Provides ongoing support and coaching in a constructive manner to increase employees' effectiveness.Ensuring High Quality: - Performs Excellent Work: Engages regularly in formal and informal dialogue about quality; directly addresses quality issues promptly. - Ensures Continuous Improvement: Applies various learning experiences by looking beyond symptoms to uncover underlying causes of problems and identifies ways to resolve them. - Fulfills Safety and Regulatory Requirements: Understands all aspects of providing a safe environment and performs routine safety checks to prevent safety hazards from occurring. Managing Resources Effectively: - Demonstrates Accountability: Demonstrates a sense of ownership, focusing on and driving critical issues to closure. - Stewards Organizational Resources: Applies understanding of the departmental work to effectively manage resources for a department/area. - Makes Data Driven Decisions: Demonstrates strong understanding of the information or data to identify and elevate opportunities. Fostering Innovation: - Generates New Ideas: Proactively identifies new ideas/opportunities from multiple sources or methods to improve processes beyond conventional approaches. - Applies Technology: Demonstrates an enthusiasm for learning new technologies, tools, and procedures to address short-term challenges. - Adapts to Change: Views difficult situations and/or problems as opportunities for improvement; actively embraces change instead of emphasizing negative elements. 
 
 Position Qualifications: 
 
 Responsibilities: 
 
 Certifications: LIC-Registered Nurse - Licensure-Others 
 
 Work Experience: Relevant Work Experience 
 
 Experience Level: 1 year 
 
 Education: Bachelor's 
 
 Vanderbilt Health recognizes that diversity is essential for excellence and innovation. We are committed to an inclusive environment where everyone has the chance to thrive and to the principles of equal opportunity and affirmative action. EOE/AA/Women/Minority/Vets/Disabled",,"The CSL leads a cohort of staff members and actively participates in overall management of the unit, development of clinical practice, and provision of patient…",TRUE,,,,USD,1,"Nashville, TN",
2,Warehouse Grocery Order Picker - 2nd shift - $21-$27/hr + Free Insurance,"ASSOCIATED WHOLESALE GROCERS, GOODLETTSVILLE, TN
500 SOUTH CARTWRIGHT STREET, GOODLETTSVILLE, TN 37072
Warehouse Order Selector*From $21 - $27 Per Hour Depending on Experience*Plus Opportunity For Weekly Incentives Up To 50% More Per Hour. We pay you extra for your performance!Up To $3,000 In New Hire Bonuses!
Top performers can earn up to $38/hr. with incentives!
Outstanding Benefits Include:*Premium-Free Medical**Low Cost Dental &amp; Vision**Holiday and Vacation Immediately**Sick Pay**Paid Weekly With Daily Pay Option**Annual Holiday Bonus Equal To 40 Hours Pay**Awesome 401k**Education Assistance Up To $5,250 Per Year**Too Many Other Benefits To List!!!*
What You'll Do:

 Manual case selection using headset and double pallet jack
 Take orders to loading dock for shipment
 M-F Shifts start at 1pm and goes until the work is complete
 Sunday Shifts start at 11am and goes until the work is complete

What You'll Need to Succeed:

 Must be 18 or older and able to work weekends
 Must be able to regularly lift up to 50 lbs and occasionally lift up to 90 lbs
 Must be able to walk/stand for long periods of time
 Must be able to work in varying temperatures (from room temp to -10°)

Reasons You'll LOVE Working Here:

 YOU determine how much you earn as a Warehouse Order Selector. The more orders you complete safely and efficiently, the more money you earn each week!
 At AWG, we feed America by providing a complete assortment of grocery and general merchandising items to our member retailers!
 Our industry is an essential business meaning we are recession and pandemic proof!
 In this fast-paced environment, you'll be on the move from start to finish!
 You'll be an ""Industrial Athlete"" - it's like getting paid to work out while on the job!
 AWG teammates live by our key values: Humility, Accountability, Transparency, &amp; Serving!
 Over 95 years of grocery success - with that comes unlimited growth opportunities!

All qualified applicants will receive consideration for employment without regard to race, color, religion, sex, sexual orientation, gender identity, national origin, disability, or status as a protected veteran.
Job Type: Full-time
Pay: $21.00 - $27.00 per hour
Benefits:

 401(k)
 401(k) matching
 Dental insurance
 Employee assistance program
 Health insurance
 Health savings account
 Life insurance
 Paid time off
 Referral program
 Tuition reimbursement
 Vision insurance

Schedule:

 10 hour shift
 12 hour shift
 8 hour shift
 Evening shift
 Overtime
 Weekends as needed

Application Question(s):

 Will you be able to reliably commute or relocate to Goodlettsville, TN 37072 for this job?
 Are you able and willing to work in temperatures between -20 and 32 degrees Fahrenheit?
 Are you able to work 2nd shift (evenings), Sundays, &amp; Holidays?
 Were you referred by a current AWG employee? If so, please provide their name.
 Can you lift the 90 lbs repetitively as required by the job position?

Work Location: In person",,"Must be able to work in varying temperatures (from room temp to -10°).
 Manual case selection using headset and double pallet jack.",TRUE,12 hour shift,21,hourly,USD,2,"Nashville, TN",21
3,Receptionist,"Workwear Outfitters has a strong legacy of building innovative and authentic market-right products and is a leading supplier of work apparel and footwear for diverse occupations in industries such as automotive, manufacturing, oil and gas, utilities, government, food services, telecommunications, hospitality, and many more. Workwear Outfitters is based in Nashville, Tennessee with more than 5,800 employees in facilities spanning the globe.
Brands under the Workwear Outfitters umbrella include Red Kap®, Bulwark®, Image Authority®, Kodiak®, Terra®, Walls®, Liberty ®, Work Authority®, Workrite® Fire Service, Chef Designs®, Horace Small®, and CritiCore®. Workwear Outfitters is also the exclusive licensee for Dickies® apparel in the B2B channel.
Our Purpose: “We champion and empower workers who make our world work better”
Major benefits include medical, vision and dental, Life and Disability coverage.
Other benefits included: 401K, Tuition reimbursement, Employee Assistance Program, Flexible Spending Accounts, and many others.
What you will do as a Receptionist 
This position exists to provide an excellent first impression for guests and callers for assigned location. This includes ensuring that the switchboard is answered in a timely and courteous manner along with greeting all visitors. Also, performs clerical support functions for all departments.
How You Will Make a Difference:

 Serve visitors by greeting, welcoming, directing and announcing them appropriately. This includes completing necessary paperwork and assigning/tracking temporary security visitor badges in compliance with WWOF Safety policy.
 Discern the nature and purpose of calls coming in through the main incoming phone line and direct them accordingly.
 Provide clerical support. ie, approving office supply orders, distribution of covered parking, selling postage stamps, handles personal payments for FedEx shipments, assigning/tracking security temporary badges.
 Keep reception area clean and presentable at all times.
 Provide administrative activities to support Administrative Services and other departments when needed.

Skills for Success:

 Years of Related Professional Experience: 1+
 High School diploma
 Previous experience with multi-line switchboard
 Strong organizational skills

Job Type: Full-time
Pay: $22.00 - $26.00 per hour
Work Location: In person",,Discern the nature and purpose of calls coming in through the main incoming phone line and direct them accordingly.,FALSE,,22,hourly,USD,3,"Nashville, TN",22
4,Amazon - Call Center Representative,"The Call Center Representative is responsible for handling incoming calls and is the first contact customers have with the Amazon.com corporate resource line by phone.
 We act as a liaison by providing callers with the information and resources they need, while providing a memorable customer centric experience and are required to maintain confidentiality of Amazons internal and external customer data.
 Our ideal applicant is someone who enjoys engaging with people. Who knows the importance of patients and active listening. That is comfortable with de-escalation and cares about the customer experience.
 We are a team that is focused in building a culture that celebrates our differences and diversity. Creating a safe space for growth and development. Our best-in-class benefits are uniquely designed to support you and your family in staying well, growing professionally
 We take care of you, so you can focus on delivering 5-star customer service and supporting the NWC Mission.
 
  Job Location: Nashville TN
  Hours of Operation: 8:30 am to 8:00 pm Monday through Friday.
  Wage: Starting Wage: $19.82 Full Range $19.82 - $23.58
   What we can offer:
 
  Competitive and affordable Medical (including hearing &amp; hardware coverage!), Dental, Vision, Disability, and Life Insurance
  17 Accrued Paid Time Off Days Annually
  Additional 11 Annual Floating Holidays, Parental Leave, and Paid Compassion Leave
  Retirement 401(K) with a company match
  Company-Provided Orca Pass – Unlimited use
  Employment Assistance Program (EAP) via Spring Health
  Mental Wellness Program including six free therapy sessions per year
  Opportunity for career development with our NWC Mentorship Match program
  Physical Wellness Reimbursement Program - $25/month
  Student Loan Contribution Program - $50/month
  Pet Insurance Discount Program
 
 
   Check out the entire list of benefits Northwest Center has to offer here: http://www.nwcbenefits.com/
 
   Key Responsibilities
 
  Answer between 100-200 incoming telephone calls daily
  Proven excellent customer service, communication, verbal and written skills with an emphasis on organization and attention to detail required
  Must excel in a team-based environment with a positive attitude; be comfortable with ambiguity and have the ability to be flexible
  Respond to inquiries by gaining clarifying information, determining the caller’s need and providing the customer with the appropriate resource or transferring caller to the necessary employee or department
  Keep detailed record of call metrics according to standard operating procedure
  Maintain and audit call center equipment to include: phones, headsets, computers, and logs regularly. Immediately report any issues or discrepancies to Supervisor
  Uphold team’s qualitative and quantitative standards
  Maintain communication with Supervisor, keeping them informed of significant issues and/or call escalations.
  Create workplace tickets for any facility issues brought to NWC’s attention.
 
   Requirements
 
  Minimum 1-year Customer Service experience
  1-2+ years call center experience required
  Successful candidates will possess a strong commitment to customer service
  Ability to talk on the phone using a clear and audible speaking voice
  Strong conflict resolution, critical thinking, de-escalation and problem-solving skills
  Ability to make quick and accurate decisions under pressure
  Excellent interpersonal skills and the ability to interrelate with the community, management and employees
  Ability to communicate effectively verbally with the community, management, vendor partners and employees
  Ability to write concise correspondence with all levels of management, vendor partners and employees
  Ability to work independently with limited supervision
  Ability to type 40 WPM
  Proficiency with Windows, Excel and Outlook e-mail
  Experience with multi-line phone systems
  Ability to sit for up to 8 hours at a time
  Ability to lift and/or carry up to 10lbs
  Ability to communicate verbally for majority of day
  Ability to work in a dog friendly campus; any allergies may impede performance
  High School Diploma or GED required
 
 
 
 
   About Northwest Center
 
 
  When People of all Abilities Learn and Work Together, Everyone Benefits. The purpose of Northwest Center is to change society so that people of all abilities engage with each other fully in classrooms, workplaces, and the community. Legally structured as a 501(c)3 nonprofit corporation, Northwest Center is more broadly a ""for-purpose"" organization that uses and blends the best techniques of human services, business, and philanthropy in innovative ways.
 
 
  As a social enterprise organization, Northwest Center proves to the world every day that employing people of all abilities can be a powerful competitive advantage. Northwest Center’s businesses generate over $5 million annually that Northwest Center reinvests into human services while covering 100% of the overhead expense of the organization and building cash reserves for future sustainability.
 
 
  Northwest Center’s mission is to promote the growth, development, and independence of people with disabilities through programs of therapy, education, and work opportunity
 
 
  Northwest Center is committed to offering reasonable accommodations to applicants with disabilities. If reasonable accommodation is needed to participate in the job application or interview process, to perform essential job functions, and/or to receive other benefits and privileges of employment, please contact us at jobs@nwcenter.org.
 
 
   At Northwest Center, we do not just accept diversity and inclusion — we celebrate it, support it, live it, and flourish in it to benefit our employees, the community, and our clientele. We believe that our strength lies within our diversity and the forward motion towards a day when people of all abilities can learn and work together.
 
 
   
 
 
   We believe that curiosity and critical thinking are essential to the dialogue and improving decision-making, planning, resource allocation, and how we treat others. Our goal is to create and implement more equitable practices, policies, and culture. To be equitable means to value and respect individuals from all cultural backgrounds, genders, races, identities, and abilities. Northwest Center is proud to be an equal opportunity employer, including disability and veterans’ status.
 
 
 
 
  IND123",,"Answer between 100-200 incoming telephone calls daily.
 The Call Center Representative is responsible for handling incoming calls and is the first contact…",FALSE,,19.82,hourly,USD,4,"Nashville, TN",19.82
5,Server,"Job SummaryCashier/teller/server
job requires zero skill &amp; very easily done
hiring for 1st-2nd&amp;3rd shift
starting pay is 20$ per hour
Job Types: Full-time, Part-time
Pay: $20.00 - $30.00 per hour
Expected hours: 30 – 50 per week
Benefits:

 Employee discount
 Flexible schedule
 Health insurance

Shift:

 10 hour shift
 12 hour shift
 8 hour shift
 Day shift
 Evening shift
 Morning shift
 Night shift

Work Location: In person",Full-time,"Job requires zero skill &amp; very easily done.
 Hiring for 1st-2nd&amp;3rd shift.
 Starting pay is 20$ per hour.
 Job Types: Full-time, Part-time.",TRUE,12 hour shift,20,hourly,USD,5,"Nashville, TN",20
6,Registrar,"Shift Schedule: 9 a.m. - 9 p.m. rotating weekends
  Introduction
 Last year our HCA Healthcare colleagues invested over 156,000 hours volunteering in our communities. As a Registrar with TriStar Centennial Medical Center you can be a part of an organization that is devoted to giving back!
  Benefits
 TriStar Centennial Medical Center, offers a total rewards package that supports the health, life, career and retirement of our colleagues. The available plans and programs include:
 
  Comprehensive medical coverage that covers many common services at no cost or for a low copay. Plans include prescription drug and behavioral health coverage as well as free telemedicine services and free AirMed medical transportation.
  Additional options for dental and vision benefits, life and disability coverage, flexible spending accounts, supplemental health protection plans (accident, critical illness, hospital indemnity), auto and home insurance, identity theft protection, legal counseling, long-term care coverage, moving assistance, pet insurance and more.
  Free counseling services and resources for emotional, physical and financial wellbeing
  401(k) Plan with a 100% match on 3% to 9% of pay (based on years of service)
  Employee Stock Purchase Plan with 10% off HCA Healthcare stock
  Family support through fertility and family building benefits with Progyny and adoption assistance.
  Referral services for child, elder and pet care, home and auto repair, event planning and more
  Consumer discounts through Abenity and Consumer Discounts
  Retirement readiness, rollover assistance services and preferred banking partnerships
  Education assistance (tuition, student loan, certification support, dependent scholarships)
  Colleague recognition program
  Time Away From Work Program (paid time off, paid family leave, long- and short-term disability coverage and leaves of absence)
  Employee Health Assistance Fund that offers free employee-only coverage to full-time and part-time colleagues based on income.
 
 Learn more about Employee Benefits
  Note: Eligibility for benefits may vary by location.
  Would you like to unlock your potential with a leading healthcare provider dedicated to the growth and development of our colleagues? Join the TriStar Centennial Medical Center family! We will give you the tools and resources you need to succeed in our organization. We are looking for an enthusiastic Registrar to help us reach our goals. Unlock your potential!
  Job Summary and Qualifications
 
 As a Registrar, you will be responsible for timely and accurate patient registration. You will also interview patients for all pertinent account information and verify insurance coverage.
 What you will do in this role:
 
 
  Interview patients at workstation or at bedside to obtain all necessary account information. Bedside registration performed utilizing carts/computers on wheels
  Provide exemplary Customer Service
  Ensure charts are completed and accurate
  Verify all insurance and obtain pre-certification/authorization
  Calculate and collect patient liability amounts
  Ensure that all necessary signatures are obtained for treatments
  Process patient charts according to paperwork flow needs and established productivity standards
  Interview incoming patients, his/her relatives, or other responsible individuals to obtain identifying and demographical information with insurance and financial information
  Assign Insurance Plans (IPlans)accurately
  Verify insurance benefits and determine pre-certification/authorization status via online or other resources. If pre-certification/authorization/notification of admission is required and has not been obtained, initiate via Passport, on-line or phone call. Enter all information and authorization/referral numbers into the registration system.
  Secure all signatures necessary for treatments, release of medical information, assignment of insurance benefits, and payment of services from legally responsible parties. Obtain copies of necessary identification and insurance cards.
  Understand/explain policies regarding services, pricing, insurance billing, and payment of account.
 
 What qualifications you will need:
 
 
  1 year of related experience preferred.
  Demonstrates proficiency in Microsoft Office applications required
 
 
 Learn more about a day in the life of a Registrar https://www.youtube.com/watch?v=zlHpzS5dpbE
  Parallon provides full-service revenue cycle management, or total patient account resolution, for HCA Healthcare. Our services include scheduling, registration, insurance verification, hospital billing, revenue integrity, collections, payment compliance, credentialing, health information management, customer service, payroll and physician billing. We also provide full-service revenue cycle management as well as targeted solutions, such as Medicaid Eligibility, for external clients across the country. Parallon has over 17,000 colleagues, and serves close to 1,000 hospitals and 3,000 physician practices, all making an impact on patients, providers and their communities.
 HCA Healthcare has been recognized as one of the World’s Most Ethical Companies® by the Ethisphere Institute more than ten times. In recent years, HCA Healthcare spent an estimated $3.7 billion in cost for the delivery of charitable care, uninsured discounts, and other uncompensated expenses.
 ""
 
  ""There is so much good to do in the world and so many different ways to do it.""- Dr. Thomas Frist, Sr. HCA Healthcare Co-Founder
 Be a part of an organization that invests in you! We are reviewing applications for our Registrar opening. Qualified candidates will be contacted for interviews. Submit your application and help us raise the bar in patient care!
  We are an equal opportunity employer and value diversity at our company. We do not discriminate on the basis of race, religion, color, national origin, gender, sexual orientation, age, marital status, veteran status, or disability status.",,"Education assistance (tuition, student loan, certification support, dependent scholarships).
 Verify all insurance and obtain pre-certification/authorization.",FALSE,Day shift,,,USD,6,"Nashville, TN",
7,Airport Garage Janitorial Cleaners,"The role of the Garage Janitorial Cleaner is to provide exceptional guest experiences while ensuring the continued cleanliness and safety of the garage.
Shift:
-Cleaners, $17.00 per hour
1st Shift -Cleaners, 6:00AM-2:30PM, Weekends required
2nd Shift -Cleaner, 2:00 PM to 10:30 PM, Weekends required
3rd Shift -Cleaner, 10:00PM to 6:30AM, Weekends required
Job Duties:
· Customer Service: Make exceptional guest experiences the priority in every interaction
· Maintain cleanliness of garage area
· Cleaning Entrances
· Window Cleaning
· Elevator and Lobby Cleaning
· Waste and Recycle removal
· Clean brute trash containers as needed
· Inspection of areas for stains, gum removal, spot cleaning, etc.
· Remove cobwebs and clean signs
· Complete other duties as may be assigned by the supervisor
Job Type: Full-time
Pay: From $17.00 per hour
Benefits:

 Dental insurance
 Health insurance
 Paid time off
 Vision insurance

Physical Setting:

 Outdoor work

Schedule:

 8 hour shift
 Weekends as needed

Application Question(s):

 This position requires you to work outside. Are you able to comply with this requirement?
 Do you have reliable transportation?
 This position requires you to work weekends. Are you available to work weekends?
 Must be able to pass airport background check.
 Which shift are you interested in? 1st, 2nd or 3rd?
 Do you have experience with pressure washing? If so, please provide in detail.

Shift availability:

 Night Shift (Preferred)
 Overnight Shift (Preferred)
 Day Shift (Preferred)

Work Location: In person",,The role of the Garage Janitorial Cleaner is to provide exceptional guest experiences while ensuring the continued cleanliness and safety of the garage.,FALSE,8 hour shift,17,hourly,USD,7,"Nashville, TN",17
8,Court Clerk,"OverviewWe are seeking a detail-oriented Court Clerk to join our legal team. The ideal candidate will have a strong background in legal administrative tasks and exceptional organizational skills.
Responsibilities- Perform clerical duties in the courtroom, such as filing, data entry, and record-keeping- Assist judges and attorneys with legal research and drafting of legal documents- Manage court schedules and coordinate hearings and trials- Provide administrative support by answering phones, responding to inquiries, and assisting with customer service- Maintain and organize court files and documents in accordance with legal procedures
Experience- Previous experience in a legal or administrative role is preferred- Proficiency in office software applications for data entry and document preparation- Knowledge of legal terminology and procedures is a plus- Strong organizational skills with attention to detail- Excellent customer service skills to interact with attorneys, judges, and the public
Job Types: Full-time, Contract
Pay: $17.00 - $22.00 per hour
Expected hours: 37.5 per week
Benefits:

 Dental insurance
 Health insurance
 Life insurance
 Paid time off
 Vision insurance

Schedule:

 8 hour shift
 Day shift
 Holidays
 Monday to Friday
 No nights
 No weekends

Shift availability:

 Day Shift (Preferred)

Ability to Commute:

 Nashville, TN 37243 (Required)

Ability to Relocate:

 Nashville, TN 37243: Relocate before starting work (Required)

Work Location: Hybrid remote in Nashville, TN 37243",Full-time,"Perform clerical duties in the courtroom, such as filing, data entry, and record-keeping.
 Provide administrative support by answering phones, responding to…",FALSE,8 hour shift,17,hourly,USD,8,"Nashville, TN",17
9,Security Officer,"Nighthawk Security is a fast-growing security company that puts our employees first. Join our Nashville team and find out how our culture makes Nighthawk stand out from the competition. By joining us, you’ll make a difference in the lives of others by providing safety and security to our clients.
We are looking for motivated individuals for positions in the Nashville, TN area.
Apply Today!Starting Pay of $21.60/hour
Shifts Available: M-F 6A to 2P

 Paid Training Provided
 Full Time Hours
 Benefits Offered

Responsibilities:

 Observe and report activities and incidents
 Safeguard client property and personnel
 Control access to client site/facility
 Prepare logs and reports
 Conduct routine inspections and patrols (foot or mobile)

Perk and Benefits:

 Guaranteed Work Hours; Paid Training
 Competitive Pay; Bi-Weekly Pay; Holiday Pay
 Health Coverage Options; Dental Insurance Options
 Career Advancement Opportunities; Certification Sponsorship

Qualifications:

 Must pass a background investigation to the extent permitted by applicable federal, state, and local laws.
 MUST PASS A DRUG SCREEN
 Must have a valid driver's license
 Must have dependable transportation
 TN Security License Preferred

Visit the following web link to learn more about our company. www.nighthawksecurityco.com
EOE/M/F/Vet/Disabilities. Nighthawk Security Company is an Equal Opportunity Employer committed to hiring a diverse workforce.
Job Type: Full-time
Pay: From $21.60 per hour
Expected hours: 40 per week
Benefits:

 Dental insurance
 Flexible schedule
 Health insurance
 Referral program

Schedule:

 8 hour shift
 Day shift
 Monday to Friday

Application Question(s):

 Can you pass a drug screening?
 Do you have dependable transportation?

License/Certification:

 Driver's License (Required)
 TN Security License (Preferred)

Ability to Commute:

 Nashville, TN (Required)

Work Location: In person",,"Must have a valid driver's license.
 Must pass a background investigation to the extent permitted by applicable federal, state, and local laws..",TRUE,8 hour shift,21.6,hourly,USD,9,"Nashville, TN",21.6
10,Craft Brewery Server,"Summary of Position:At Rock'n Dough we are Deliberately Crafting Epic Flavors and Cool Vibes, and we want you to be a part of that! We are looking for people who are passionate about life and sharing their passion with our guests. Whether it's Rock Music, Craft Beer, Cocktails, or artisan Pizza, we have plenty for you to be passionate about here. If you are sick of the classic way of serving great food and drink then this is the place for you! Apply now and change your idea of what great restaurant service is!
Why Rock'n Dough?

 Caring &amp; hard working management and ownership working right along side you.
 Huge growth potential in the Nashville Area. Like liberty spike mohawk huge!
 Employee Benefits after a year of full time employment including; Paid Time Off, Health Insurance, and 401k.
 A dope free T-Shirt. Seriously... they're rad.
 All the great benefits that come along with working in a brewery; Beer Festivals, Beer Tastings / Dinners, Sponsorship Opportunities and Events.
 A comfortable and relaxed dress code. You're already awesome, we want you to be you!
 And, of course, discounts on all your food and beer!

Duties &amp; Responsibilities:

 Whatever it takes to make guests happy and for you to enjoy being here!
 Work hard with a team of peers that are just as passionate as you.
 All the typical server things but with Epic Rock Music playing in the background!

Qualifications:

 An outside the box thinking mentality!
 A passion for life.
 Hard work ethic and a positive attitude.

Job Types: Full-time, Part-time
Pay: $15.00 - $30.00 per hour
Benefits:

 401(k)
 Employee discount
 Flexible schedule
 Health insurance
 Paid time off

Shift:

 Day shift
 Evening shift
 Night shift

Work Location: In person",Full-time,"Caring &amp; hard working management and ownership working right along side you.
 Huge growth potential in the Nashville Area.
 A dope free T-Shirt.",TRUE,Night shift,15,hourly,USD,10,"Nashville, TN",15
