job_x_id,job_benefit_value
1,Disability insurance
1,Health insurance
1,Dental insurance
1,Tuition reimbursement
1,Paid time off
1,Adoption assistance
1,Vision insurance
1,403(b)
2,Health savings account
2,Health insurance
2,Dental insurance
2,401(k)
2,Tuition reimbursement
2,Paid time off
2,Employee assistance program
2,Vision insurance
2,401(k) matching
2,Life insurance
2,Referral program
2,Paid sick time
3,Disability insurance
3,Health insurance
3,Dental insurance
3,401(k)
3,Flexible spending account
3,Tuition reimbursement
3,Employee assistance program
3,Vision insurance
4,Wellness program
4,Disability insurance
4,Health insurance
4,Dental insurance
4,Paid time off
4,Parental leave
4,Employee assistance program
4,Vision insurance
4,401(k) matching
4,Employee discount
4,Life insurance
4,Pet insurance
5,Health insurance
5,Employee discount
5,Flexible schedule
6,Employee stock purchase plan
6,Disability insurance
6,Health insurance
6,Dental insurance
6,Flexible spending account
6,Tuition reimbursement
6,Paid time off
6,Adoption assistance
6,Family leave
6,Vision insurance
6,401(k) matching
6,Pet insurance
7,Health insurance
7,Dental insurance
7,Paid time off
7,Vision insurance
8,Health insurance
8,Dental insurance
8,Paid time off
8,Vision insurance
8,Life insurance
9,Paid training
9,Paid holidays
9,Health insurance
9,Dental insurance
9,Opportunities for advancement
9,Flexible schedule
9,Referral program
10,Health insurance
10,401(k)
10,Paid time off
10,Employee discount
10,Flexible schedule
11,Paid training
11,Paid holidays
11,Health insurance
11,401(k)
11,Paid time off
11,401(k) matching
11,Paid sick time
12,Disability insurance
12,Health insurance
12,Dental insurance
12,Tuition reimbursement
12,Paid time off
12,Adoption assistance
12,Vision insurance
12,403(b)
13,Continuing education credits
13,Paid holidays
13,Health insurance
13,Dental insurance
13,401(k)
13,Paid time off
13,Flexible schedule
14,Paid time off
14,Professional development assistance
14,Flexible schedule
15,Continuing education credits
15,Loan repayment program
15,Disability insurance
15,Health insurance
15,Dental insurance
15,Paid time off
15,Employee assistance program
15,Vision insurance
15,Life insurance
15,Malpractice insurance
15,Retirement plan
16,AD&D insurance
16,Paid holidays
16,Disability insurance
16,Health insurance
16,Dental insurance
16,Tuition reimbursement
16,Employee assistance program
16,Vision insurance
16,Credit union membership
16,Life insurance
17,Paid parental leave
17,Paid holidays
17,Health insurance
17,Dental insurance
17,Flexible spending account
17,Tuition reimbursement
17,Paid time off
17,Parental leave
17,Vision insurance
17,401(k) matching
17,Loan assistance
18,Paid holidays
18,Health insurance
21,AD&D insurance
21,Military leave
21,Family leave
21,Employee assistance program
21,Bereavement leave
21,Life insurance
22,Free parking
22,Paid holidays
22,Disability insurance
22,Health insurance
22,Dental insurance
22,Flexible spending account
22,Employee assistance program
22,Vision insurance
22,Life insurance
23,Health savings account
23,Disability insurance
23,Health insurance
23,Flexible spending account
23,401(k) matching
24,Health insurance
24,Dental insurance
24,401(k)
24,Flexible spending account
24,Paid time off
24,Parental leave
24,Employee assistance program
24,Vision insurance
24,Life insurance
25,On-the-job training
26,Paid holidays
28,Health insurance
28,Dental insurance
28,Vision insurance
28,Life insurance
28,Retirement plan
29,Paid training
29,Wellness program
29,Paid holidays
29,Health insurance
29,Tuition reimbursement
29,Paid time off
29,Employee assistance program
29,Vision insurance
29,Retirement plan
31,Paid holidays
31,Disability insurance
31,Health insurance
31,Dental insurance
31,401(k) matching
31,Employee discount
31,Life insurance
34,Free parking
34,Health insurance
34,Dental insurance
34,401(k)
34,Paid time off
34,Life insurance
36,Health savings account
36,Paid holidays
36,Disability insurance
36,Health insurance
36,Dental insurance
36,Flexible spending account
36,Tuition reimbursement
36,Paid time off
36,Employee assistance program
36,Vision insurance
38,Health insurance
38,Tuition reimbursement
38,401(k) matching
38,Referral program
39,Paid holidays
39,Loan repayment program
39,Health insurance
39,Dental insurance
39,Paid time off
39,Family leave
39,Vision insurance
39,401(k) matching
40,Paid holidays
41,Free parking
41,Disability insurance
41,Health insurance
41,Dental insurance
41,Paid time off
41,Employee assistance program
41,Vision insurance
41,401(k) matching
41,Employee discount
41,Life insurance
43,Employee discount
45,Paid holidays
45,Paid time off
45,401(k) matching
45,Opportunities for advancement
46,Paid holidays
46,Loan repayment program
46,Health insurance
46,Dental insurance
46,Paid time off
46,Family leave
46,Vision insurance
46,401(k) matching
48,Health savings account
48,Paid time off
48,401(k) matching
48,Opportunities for advancement
49,Paid holidays
50,Flexible schedule
52,On-the-job training
53,Health savings account
53,Employee stock purchase plan
53,401(k)
53,Tuition reimbursement
53,Paid time off
53,401(k) 7% Match
53,401(k) matching
54,Free parking
54,Health savings account
54,Disability insurance
54,Health insurance
54,Dental insurance
54,401(k)
54,Flexible spending account
54,Paid time off
54,Parental leave
54,Employee assistance program
54,Vision insurance
54,Gym membership
56,Dental insurance
56,401(k)
56,Paid time off
